@180.171.147.187/32 83.167.110.154/32 0:65535 6849:6849 0x06/0xFF
@180.171.147.227/32 199.39.63.181/32 0:65535 1526:1526 0x06/0xFF
@180.171.147.227/32 86.109.168.33/32 0:65535 6000:6000 0x06/0xFF
@180.171.147.241/32 86.109.168.33/32 0:65535 5540:5540 0x11/0xFF
@180.171.147.254/32 85.199.42.124/32 0:65535 21:21 0x11/0xFF
@180.171.147.254/32 199.39.63.181/32 0:65535 1521:1521 0x06/0xFF
@180.171.147.254/32 199.39.63.181/32 0:65535 1707:1707 0x06/0xFF
@180.171.147.254/32 25.181.193.224/32 0:65535 5555:5555 0x06/0xFF
@180.171.147.195/32 199.39.63.181/32 0:65535 1712:1712 0x06/0xFF
@180.171.147.202/32 25.181.193.224/32 0:65535 6000:6000 0x06/0xFF
@180.171.147.202/32 25.181.193.224/32 0:65535 2026:2026 0x06/0xFF
@180.171.147.220/32 199.39.63.181/32 0:65535 1526:1526 0x06/0xFF
@180.171.147.217/32 25.181.193.224/32 0:65535 1433:1433 0x06/0xFF
@180.171.147.217/32 25.181.193.224/32 0:65535 1521:1521 0x06/0xFF
@180.171.147.209/32 25.177.188.88/32 0:65535 6000:6000 0x06/0xFF
@180.171.147.209/32 25.177.188.88/32 0:65535 135:135 0x06/0xFF
@180.171.147.209/32 25.177.188.88/32 0:65535 1526:1526 0x06/0xFF
@180.171.147.209/32 25.177.188.88/32 0:65535 1521:1521 0x06/0xFF
@180.171.147.209/32 25.177.188.88/32 0:65535 2110:2110 0x06/0xFF
@180.171.147.36/32 25.178.135.87/32 0:65535 1521:1521 0x06/0xFF
@180.171.147.36/32 25.178.135.87/32 0:65535 1733:1733 0x06/0xFF
@180.171.147.44/32 180.171.109.214/32 0:65535 21:21 0x06/0xFF
@180.171.147.44/32 25.178.135.87/32 0:65535 1525:1525 0x06/0xFF
@180.171.147.63/32 180.171.109.214/32 0:65535 1705:1705 0x11/0xFF
@180.171.147.56/32 25.178.135.86/32 0:65535 1526:1526 0x06/0xFF
@180.171.147.86/32 25.178.135.86/32 0:65535 1521:1521 0x06/0xFF
@180.171.147.85/32 25.178.135.86/32 0:65535 1705:1705 0x06/0xFF
@180.171.147.84/32 25.178.135.86/32 0:65535 1521:1521 0x06/0xFF
@180.171.147.80/32 25.178.135.86/32 0:65535 1715:1715 0x11/0xFF
@180.171.147.80/32 25.184.48.234/32 0:65535 1715:1715 0x06/0xFF
@180.171.147.80/32 25.184.48.234/32 0:65535 1521:1521 0x06/0xFF
@180.171.147.80/32 25.184.48.234/32 0:65535 1526:1526 0x06/0xFF
@180.171.147.89/32 25.184.48.234/32 0:65535 6000:6000 0x06/0xFF
@180.171.147.89/32 25.184.48.234/32 0:65535 135:135 0x06/0xFF
@180.171.147.89/32 180.171.109.214/32 0:65535 1521:1521 0x06/0xFF
@180.171.147.89/32 25.184.48.239/32 0:65535 1521:1521 0x11/0xFF
@180.171.147.89/32 199.39.63.181/32 0:65535 1521:1521 0x06/0xFF
@180.171.147.89/32 166.210.196.168/32 0:65535 135:135 0x06/0xFF
@180.171.147.89/32 25.184.48.239/32 0:65535 1711:1711 0x06/0xFF
@180.171.147.89/32 25.184.48.239/32 0:65535 1717:1717 0x06/0xFF
@180.171.147.89/32 180.171.109.214/32 0:65535 21:21 0x06/0xFF
@180.171.147.89/32 25.184.48.239/32 0:65535 5632:5632 0x06/0xFF
@180.171.147.65/32 25.184.48.239/32 0:65535 1525:1525 0x11/0xFF
@180.171.147.65/32 25.184.48.239/32 0:65535 5555:5555 0x06/0xFF
@180.171.147.65/32 25.184.48.239/32 0:65535 1705:1705 0x06/0xFF
@180.171.147.65/32 199.39.63.181/32 0:65535 1526:1526 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 1707:1707 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 1705:1705 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 12050:12050 0x06/0xFF
@180.171.147.65/32 180.171.109.214/32 0:65535 1433:1433 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 1734:1734 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 32200:32200 0x06/0xFF
@180.171.147.65/32 177.119.185.52/32 0:65535 2115:2115 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 1733:1733 0x06/0xFF
@180.171.147.65/32 199.39.63.181/32 0:65535 27000:27000 0x11/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 1526:1526 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 1704:1704 0x11/0xFF
@180.171.147.65/32 180.171.109.214/32 0:65535 1717:1717 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 19856:19856 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 5555:5555 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 1521:1521 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 1708:1708 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 2121:2121 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 2110:2110 0x06/0xFF
@180.171.147.65/32 199.39.63.181/32 0:65535 1433:1433 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 5631:5631 0x06/0xFF
@85.52.83.88/32 25.184.48.129/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.88/32 90.129.153.215/32 0:65535 21:21 0x06/0xFF
@85.52.83.88/32 151.68.220.49/32 0:65535 20:20 0x06/0xFF
@85.52.83.88/32 151.97.235.67/32 0:65535 1433:1433 0x06/0xFF
@85.52.83.88/32 151.98.65.138/32 0:65535 1433:1433 0x06/0xFF
@85.52.83.88/32 151.98.65.138/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.81/32 151.98.65.138/32 0:65535 1525:1525 0x06/0xFF
@85.52.83.81/32 188.235.248.118/32 0:65535 1433:1433 0x11/0xFF
@85.52.83.81/32 188.235.249.147/32 0:65535 1707:1707 0x06/0xFF
@85.52.83.81/32 188.239.194.6/32 0:65535 443:443 0x06/0xFF
@85.52.83.81/32 188.239.194.6/32 0:65535 2121:2121 0x06/0xFF
@85.52.83.81/32 188.239.194.6/32 0:65535 5555:5555 0x06/0xFF
@85.52.83.80/32 188.227.35.104/32 0:65535 1433:1433 0x06/0xFF
@85.52.83.80/32 188.227.107.170/32 0:65535 14753:14753 0x06/0xFF
@85.52.83.80/32 188.227.107.196/32 0:65535 1650:1650 0x06/0xFF
@85.52.83.80/32 188.227.107.196/32 0:65535 1712:1712 0x06/0xFF
@85.52.83.80/32 177.119.185.75/32 0:65535 1712:1712 0x06/0xFF
@85.52.83.80/32 183.44.59.118/32 0:65535 6000:6000 0x06/0xFF
@85.52.83.80/32 183.42.168.157/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.77/32 81.118.126.24/32 0:65535 5632:5632 0x06/0xFF
@85.52.83.77/32 182.190.17.154/32 0:65535 1707:1707 0x06/0xFF
@85.52.83.77/32 182.190.17.154/32 0:65535 1433:1433 0x06/0xFF
@85.52.83.77/32 182.190.16.55/32 0:65535 1526:1526 0x06/0xFF
@85.52.83.77/32 180.175.110.250/32 0:65535 6789:6789 0x06/0xFF
@85.52.83.77/32 25.184.48.129/32 0:65535 2110:2110 0x06/0xFF
@85.52.83.77/32 180.175.6.52/32 0:65535 2121:2121 0x06/0xFF
@85.52.83.68/32 199.45.148.2/32 0:65535 2121:2121 0x06/0xFF
@85.52.83.68/32 25.184.48.129/32 0:65535 1526:1526 0x06/0xFF
@85.52.83.68/32 199.45.148.2/32 0:65535 1526:1526 0x06/0xFF
@85.52.83.68/32 199.45.148.2/32 0:65535 1715:1715 0x06/0xFF
@85.52.83.68/32 199.45.148.2/32 0:65535 1708:1708 0x06/0xFF
@85.52.83.68/32 199.45.148.2/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.68/32 81.116.209.188/32 0:65535 5541:5541 0x06/0xFF
@85.52.83.68/32 25.184.48.129/32 0:65535 1717:1717 0x06/0xFF
@85.52.83.68/32 199.45.148.2/32 0:65535 1717:1717 0x06/0xFF
@85.52.83.69/32 25.184.48.129/32 0:65535 20:20 0x06/0xFF
@85.52.83.69/32 199.45.140.2/32 0:65535 1708:1708 0x06/0xFF
@85.52.83.69/32 199.45.140.2/32 0:65535 1526:1526 0x06/0xFF
@85.52.83.69/32 199.45.140.2/32 0:65535 1489:1489 0x06/0xFF
@85.52.83.69/32 85.52.87.1/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.69/32 199.45.140.2/32 0:65535 1705:1705 0x06/0xFF
@85.52.83.69/32 199.45.140.2/32 0:65535 14753:14753 0x06/0xFF
@85.52.83.69/32 199.45.140.2/32 0:65535 2051:2051 0x06/0xFF
@85.52.83.69/32 199.45.140.2/32 0:65535 1712:1712 0x06/0xFF
@85.52.83.115/32 199.45.140.2/32 0:65535 1433:1433 0x06/0xFF
@85.52.83.115/32 85.52.87.1/32 0:65535 1724:1724 0x06/0xFF
@85.52.83.115/32 199.45.140.2/32 0:65535 20:20 0x06/0xFF
@85.52.83.115/32 199.45.140.2/32 0:65535 1526:1526 0x06/0xFF
@85.52.83.115/32 199.45.140.2/32 0:65535 1705:1705 0x06/0xFF
@85.52.83.115/32 199.45.140.2/32 0:65535 14753:14753 0x06/0xFF
@85.52.83.115/32 85.52.87.1/32 0:65535 5541:5541 0x06/0xFF
@85.52.83.115/32 85.52.87.1/32 0:65535 1707:1707 0x06/0xFF
@85.52.83.115/32 199.45.140.2/32 0:65535 5555:5555 0x06/0xFF
@85.52.83.125/32 199.45.140.2/32 0:65535 1711:1711 0x06/0xFF
@85.52.83.125/32 199.45.140.2/32 0:65535 5631:5631 0x06/0xFF
@85.52.83.125/32 199.45.140.2/32 0:65535 1734:1734 0x06/0xFF
@85.52.83.125/32 199.45.140.2/32 0:65535 1708:1708 0x06/0xFF
@85.52.83.125/32 25.184.48.129/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.125/32 199.34.149.161/32 0:65535 1521:1521 0x11/0xFF
@85.52.83.125/32 199.34.149.161/32 0:65535 1704:1704 0x06/0xFF
@85.52.83.125/32 25.184.48.129/32 0:65535 135:135 0x06/0xFF
@85.52.83.125/32 25.184.48.129/32 0:65535 1734:1734 0x06/0xFF
@85.52.83.125/32 199.34.149.161/32 0:65535 6000:6000 0x06/0xFF
@85.52.83.96/32 199.34.149.161/32 0:65535 21:21 0x06/0xFF
@85.52.83.96/32 25.184.48.129/32 0:65535 1707:1707 0x06/0xFF
@85.52.83.96/32 199.34.149.161/32 0:65535 1704:1704 0x06/0xFF
@85.52.83.96/32 199.34.149.161/32 0:65535 32201:32201 0x06/0xFF
@85.52.83.96/32 73.31.26.25/32 0:65535 3031:3031 0x06/0xFF
@85.52.83.97/32 199.39.63.180/32 0:65535 1433:1433 0x06/0xFF
@85.52.83.97/32 25.184.48.129/32 0:65535 5631:5631 0x06/0xFF
@85.52.83.97/32 199.39.63.180/32 0:65535 5632:5632 0x06/0xFF
@85.52.83.97/32 199.39.63.180/32 0:65535 1525:1525 0x06/0xFF
@85.52.83.97/32 25.184.48.129/32 0:65535 1715:1715 0x06/0xFF
@85.52.83.97/32 199.39.63.180/32 0:65535 5540:5540 0x06/0xFF
@85.52.83.97/32 199.39.63.180/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.97/32 199.39.63.180/32 0:65535 443:443 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 6790:6790 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 1706:1706 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 1433:1433 0x06/0xFF
@85.52.83.97/32 25.184.48.129/32 0:65535 55444:55444 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 5555:5555 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 5541:5541 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 1490:1490 0x06/0xFF
@85.52.83.97/32 85.52.87.1/32 0:65535 1734:1734 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 6000:6000 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 30211:30211 0x06/0xFF
@180.171.147.58/31 25.178.135.86/32 0:65535 135:135 0x06/0xFF
@85.52.83.78/31 182.190.16.55/32 0:65535 1525:1525 0x06/0xFF
@85.52.83.126/31 25.184.48.129/32 0:65535 1708:1708 0x06/0xFF
@85.52.83.98/31 25.184.48.129/32 0:65535 5540:5540 0x06/0xFF
@85.52.83.97/32 25.184.48.130/31 0:65535 5540:5540 0x06/0xFF
@180.171.147.162/31 86.119.39.25/32 0:65535 1526:1526 0x06/0xFF
@180.171.147.200/31 25.181.193.224/32 0:65535 1708:1708 0x06/0xFF
@180.171.147.66/31 25.184.48.129/32 0:65535 14753:14753 0x06/0xFF
@180.171.147.66/31 180.171.109.214/32 0:65535 1525:1525 0x06/0xFF
@180.171.147.66/31 199.39.63.181/32 0:65535 1526:1526 0x06/0xFF
@180.171.147.66/31 25.184.48.129/32 0:65535 5632:5632 0x11/0xFF
@85.52.83.82/31 188.227.35.104/32 0:65535 1734:1734 0x06/0xFF
@85.52.83.82/31 183.36.190.131/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.70/31 199.45.140.2/32 0:65535 1221:1221 0x06/0xFF
@85.52.83.112/31 199.45.140.2/32 0:65535 1704:1704 0x06/0xFF
@85.52.83.98/31 25.184.48.129/32 0:65535 1221:1221 0x06/0xFF
@85.52.83.98/31 199.39.63.180/32 0:65535 1526:1526 0x06/0xFF
@85.52.83.98/31 199.39.63.181/32 0:65535 1712:1712 0x06/0xFF
@180.171.147.202/32 25.181.193.228/30 0:65535 1707:1707 0x06/0xFF
@85.52.83.80/32 183.39.248.220/30 0:65535 1708:1708 0x06/0xFF
@85.52.83.97/32 199.39.63.176/30 0:65535 1526:1526 0x06/0xFF
@180.171.147.222/32 25.181.193.226/31 0:65535 31000:31000 0x06/0xFF
@180.171.147.80/32 25.184.48.232/31 0:65535 1704:1704 0x06/0xFF
@180.171.147.89/32 25.184.48.236/31 0:65535 1521:1521 0x06/0xFF
@180.171.147.65/32 25.184.48.130/31 0:65535 1526:1526 0x06/0xFF
@180.171.147.65/32 25.184.48.130/31 0:65535 1521:1521 0x06/0xFF
@85.52.83.80/32 25.184.48.130/31 0:65535 1490:1490 0x06/0xFF
@85.52.83.77/32 183.42.168.158/31 0:65535 1521:1521 0x06/0xFF
@85.52.83.69/32 199.45.140.0/31 0:65535 1521:1521 0x06/0xFF
@85.52.83.96/32 199.39.63.182/31 0:65535 1221:1221 0x06/0xFF
@85.52.83.97/32 199.39.63.182/31 0:65535 1521:1521 0x11/0xFF
@180.171.147.202/32 25.181.193.228/30 0:65535 1221:1221 0x06/0xFF
@180.171.147.209/32 199.39.63.176/30 0:65535 20:20 0x06/0xFF
@180.171.147.65/32 25.184.48.132/30 0:65535 1433:1433 0x06/0xFF
@85.52.83.80/32 177.112.33.236/30 0:65535 5631:5631 0x06/0xFF
@85.52.83.80/32 177.119.185.48/30 0:65535 1221:1221 0x06/0xFF
@85.52.83.77/32 180.175.110.252/30 0:65535 1221:1221 0x06/0xFF
@85.52.83.125/32 25.184.48.132/30 0:65535 1717:1717 0x06/0xFF
@85.52.83.125/32 73.31.26.28/30 0:65535 1526:1526 0x06/0xFF
@85.52.83.96/32 199.34.149.164/30 0:65535 20:20 0x06/0xFF
@180.171.147.80/32 25.184.48.234/32 0:65535 62000:62009 0x06/0xFF
@180.171.147.89/32 25.184.48.239/32 0:65535 62100:62109 0x06/0xFF
@85.52.83.125/32 199.45.140.2/32 0:65535 62100:62109 0x06/0xFF
@85.52.83.96/32 199.34.149.161/32 0:65535 61500:61509 0x06/0xFF
@85.52.83.97/32 199.39.63.180/32 0:65535 61000:61009 0x06/0xFF
@180.171.147.161/32 199.39.63.181/32 0:65535 61400:61409 0x06/0xFF
@180.171.147.227/32 86.109.168.32/32 0:65535 62500:62509 0x11/0xFF
@180.171.147.227/32 86.109.168.33/32 0:65535 62000:62009 0x06/0xFF
@180.171.147.254/32 85.113.54.204/32 0:65535 62000:62009 0x06/0xFF
@180.171.147.202/32 180.171.109.197/32 0:65535 61900:61909 0x06/0xFF
@180.171.147.202/32 25.181.193.224/32 0:65535 62500:62509 0x06/0xFF
@180.171.147.217/32 25.177.188.88/32 0:65535 61800:61809 0x11/0xFF
@180.171.147.209/32 25.177.188.88/32 0:65535 61500:61509 0x11/0xFF
@180.171.147.52/32 25.178.135.87/32 0:65535 61900:61909 0x06/0xFF
@180.171.147.56/32 180.171.109.214/32 0:65535 61200:61209 0x06/0xFF
@180.171.147.86/32 199.39.63.181/32 0:65535 62500:62509 0x11/0xFF
@180.171.147.80/32 25.184.48.234/32 0:65535 32210:32219 0x11/0xFF
@180.171.147.65/32 199.39.63.181/32 0:65535 62500:62509 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 61500:61509 0x06/0xFF
@85.52.83.88/32 151.68.216.59/32 0:65535 61300:61309 0x06/0xFF
@85.52.83.80/32 85.52.87.1/32 0:65535 61200:61209 0x11/0xFF
@85.52.83.80/32 183.44.59.122/32 0:65535 61800:61809 0x06/0xFF
@85.52.83.68/32 25.184.48.129/32 0:65535 61000:61009 0x11/0xFF
@85.52.83.69/32 90.129.153.215/32 0:65535 62500:62509 0x06/0xFF
@85.52.83.69/32 199.45.140.2/32 0:65535 61900:61909 0x06/0xFF
@85.52.83.125/32 199.34.149.161/32 0:65535 61500:61509 0x06/0xFF
@85.52.83.125/32 199.34.149.161/32 0:65535 61500:61509 0x11/0xFF
@85.52.83.96/32 199.34.149.161/32 0:65535 62000:62009 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 61500:61509 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 32210:32219 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 61000:61009 0x06/0xFF
@85.52.83.97/32 90.129.153.215/32 0:65535 62400:62409 0x06/0xFF
@180.171.147.195/32 180.171.109.197/32 0:65535 32200:32207 0x11/0xFF
@180.171.147.209/32 25.177.188.88/32 0:65535 32200:32207 0x06/0xFF
@85.52.83.96/32 199.34.149.161/32 0:65535 32200:32207 0x06/0xFF
@180.171.147.65/32 199.39.63.181/32 0:65535 20000:20010 0x06/0xFF
@85.52.83.69/32 199.45.148.2/32 0:65535 20000:20010 0x11/0xFF
@85.52.83.69/32 25.184.48.129/32 0:65535 20000:20010 0x06/0xFF
@85.52.83.96/32 199.39.63.180/32 0:65535 2200:2210 0x06/0xFF
@85.52.83.97/32 199.39.63.180/32 0:65535 20000:20010 0x06/0xFF
@85.52.83.97/32 199.39.63.180/32 0:65535 2200:2210 0x11/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 1700:1720 0x06/0xFF
@180.171.147.132/32 90.18.185.155/32 0:65535 1300:1349 0x06/0xFF
@85.52.83.69/32 199.45.140.2/32 0:65535 1600:1649 0x06/0xFF
@180.171.147.134/31 90.137.24.196/32 0:65535 2200:2210 0x06/0xFF
@180.171.147.227/32 86.109.168.33/32 0:65535 61100:61119 0x06/0xFF
@180.171.147.80/32 180.171.109.214/32 0:65535 62200:62219 0x06/0xFF
@85.52.83.125/32 199.34.149.161/32 0:65535 62220:62239 0x06/0xFF
@85.52.83.125/32 199.34.149.161/32 0:65535 62200:62219 0x06/0xFF
@85.52.83.97/32 85.52.87.1/32 0:65535 61100:61119 0x06/0xFF
@180.171.147.90/31 25.184.48.234/32 0:65535 61100:61119 0x06/0xFF
@180.171.147.90/31 25.184.48.239/32 0:65535 62700:62709 0x06/0xFF
@85.52.83.98/31 199.39.63.180/32 0:65535 62700:62709 0x06/0xFF
@85.52.83.98/31 85.52.87.1/32 0:65535 61300:61309 0x06/0xFF
@85.52.83.98/31 199.39.63.181/32 0:65535 61500:61509 0x06/0xFF
@180.171.147.65/32 199.39.63.181/32 0:65535 1700:1720 0x06/0xFF
@85.52.83.77/32 180.175.6.52/32 0:65535 1700:1750 0x06/0xFF
@180.171.147.187/32 83.165.214.173/32 0:65535 1300:1350 0x06/0xFF
@180.171.147.243/32 85.193.250.122/32 0:65535 1300:1350 0x11/0xFF
@180.171.147.202/32 25.181.193.224/32 0:65535 1300:1350 0x11/0xFF
@180.171.147.217/32 188.227.107.196/32 0:65535 1700:1750 0x06/0xFF
@180.171.147.52/32 188.227.107.196/32 0:65535 1300:1350 0x06/0xFF
@180.171.147.89/32 166.217.201.117/32 0:65535 1700:1750 0x06/0xFF
@180.171.147.89/32 25.184.48.239/32 0:65535 1300:1350 0x06/0xFF
@180.171.147.89/32 199.39.63.181/32 0:65535 1700:1750 0x06/0xFF
@180.171.147.65/32 199.39.63.181/32 0:65535 1700:1750 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 1300:1350 0x06/0xFF
@85.52.83.88/32 25.184.48.129/32 0:65535 1700:1750 0x06/0xFF
@180.171.147.227/32 199.39.63.181/32 0:65535 7500:7599 0x06/0xFF
@85.52.83.68/32 85.52.87.1/32 0:65535 7500:7599 0x06/0xFF
@85.52.83.115/32 199.45.140.2/32 0:65535 7500:7599 0x06/0xFF
@85.52.83.125/32 199.34.149.161/32 0:65535 7500:7599 0x06/0xFF
@180.171.147.242/32 85.196.127.233/32 0:65535 1600:1649 0x06/0xFF
@180.171.147.86/32 25.178.135.86/32 0:65535 1600:1649 0x06/0xFF
@180.171.147.85/32 25.178.135.86/32 0:65535 1300:1349 0x11/0xFF
@180.171.147.89/32 25.184.48.239/32 0:65535 1300:1349 0x06/0xFF
@180.171.147.65/32 25.184.48.239/32 0:65535 1600:1649 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 1300:1349 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 1600:1649 0x11/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 1600:1649 0x06/0xFF
@85.52.83.77/32 85.52.87.1/32 0:65535 1600:1649 0x11/0xFF
@85.52.83.115/32 199.45.140.2/32 0:65535 1600:1649 0x06/0xFF
@85.52.83.96/32 199.34.149.161/32 0:65535 1300:1349 0x06/0xFF
@85.52.83.96/32 199.39.63.180/32 0:65535 1300:1349 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 1600:1649 0x11/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 1600:1649 0x06/0xFF
@85.52.83.97/32 25.184.48.129/32 0:65535 1600:1649 0x11/0xFF
@85.52.83.81/32 151.98.65.138/32 0:65535 62200:62239 0x06/0xFF
@85.52.83.68/32 199.45.148.2/32 0:65535 62200:62239 0x06/0xFF
@85.52.83.126/31 199.34.149.161/32 0:65535 1300:1350 0x06/0xFF
@180.171.147.195/32 25.181.193.224/32 0:65535 7500:7599 0x06/0xFF
@85.52.83.125/32 199.45.140.2/32 0:65535 7500:7599 0x06/0xFF
@85.52.83.125/32 199.34.149.161/32 0:65535 1300:1399 0x06/0xFF
@85.52.83.97/32 85.52.87.1/32 0:65535 7500:7599 0x06/0xFF
@180.171.147.89/32 25.184.48.239/32 0:65535 8000:8100 0x06/0xFF
@85.52.83.68/32 199.45.148.2/32 0:65535 8000:8100 0x06/0xFF
@180.171.146.0/23 25.181.193.224/32 0:65535 1724:1724 0x06/0xFF
@180.171.146.0/23 25.184.48.129/32 0:65535 5542:5542 0x06/0xFF
@180.171.146.0/23 25.184.48.129/32 0:65535 1525:1525 0x06/0xFF
@85.52.82.0/23 199.34.149.161/32 0:65535 1489:1489 0x06/0xFF
@85.52.82.0/23 199.39.63.181/32 0:65535 1433:1433 0x06/0xFF
@180.171.146.0/23 90.137.24.200/32 0:65535 6789:6789 0x06/0xFF
@180.171.146.0/23 199.39.63.181/32 0:65535 1712:1712 0x06/0xFF
@180.171.146.0/23 25.181.193.224/32 0:65535 2121:2121 0x06/0xFF
@180.171.146.0/23 25.177.188.88/32 0:65535 135:135 0x06/0xFF
@180.171.146.0/23 199.39.63.181/32 0:65535 1526:1526 0x06/0xFF
@85.52.82.0/23 177.119.185.53/32 0:65535 31000:31000 0x06/0xFF
@85.52.82.0/23 180.171.109.205/32 0:65535 1521:1521 0x06/0xFF
@85.52.82.0/23 199.45.140.2/32 0:65535 5540:5540 0x06/0xFF
